Filtering the log data using "process BEGINSWITH[cd] "Maccy""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-07 19:41:55.917516-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc3c0] activating connection: mach=false listener=false peer=false name=com.apple.ViewBridgeAuxiliary
2026-04-07 19:41:55.918032-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc500] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:55.918106-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc3c0] invalidated after the last release of the connection object
2026-04-07 19:41:55.918191-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:AutomaticTermination] void _updateToReflectAutomaticTerminationState(void) Setting _kLSApplicationWouldBeTerminatedByTALKey=0
2026-04-07 19:41:55.921300-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc3c0] activating connection: mach=false listener=false peer=false name=com.apple.hiservices-xpcservice
2026-04-07 19:41:55.936755-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreAnalytics) [com.apple.CoreAnalytics:client] Dropping "com.apple.appkit.app_config" as it isn't used in any transform (not in the config or budgeted?)
2026-04-07 19:41:55.936863-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc640] activating connection: mach=false listener=false peer=false name=com.apple.SafariPlatformSupport.Helper
2026-04-07 19:41:55.958341-0400 0x3377e0   Activity    0xd0302d             34254  0    Maccy: (RunningBoardServices) didChangeInheritances
2026-04-07 19:41:55.959716-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (TextInputUIMacHelper) [com.apple.TextInputUI:CursorUI] -[TUINSCursorUIController activate:]_block_invoke: Create CursorUIViewService: TUINSRemoteViewController
2026-04-07 19:41:55.960220-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] window <TUINSWindow: 0x913c4cc80> windowNumber=19cc finishing close
2026-04-07 19:41:55.960289-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19cc op: 0 relative: 0 related: 0
2026-04-07 19:41:56.038448-0400 0x3377df   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc280] invalidated after the last release of the connection object
2026-04-07 19:41:56.038448-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc640] invalidated after the last release of the connection object
2026-04-07 19:41:56.038594-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cca00] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.038637-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc640] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.038733-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc8c0] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.038752-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc280] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.127143-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:4] Alloc com.apple.backboard.hid-services.xpc
2026-04-07 19:41:56.127180-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc780] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.127355-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc280] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2026-04-07 19:41:56.127372-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc8c0] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2026-04-07 19:41:56.127455-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventDeliveryManager - connection activation
2026-04-07 19:41:56.130534-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] context (0 -> 50e07881) for window 19d0
2026-04-07 19:41:56.131501-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19d0 op: 0 relative: 0 related: 0
2026-04-07 19:41:56.147266-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] -[SPSafariPlatformSupport completionListPreferredContentSizeDidUpdate] with size {0, 0}, in window that is visible
2026-04-07 19:41:56.147336-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19d0 op: 0 relative: 0 related: 0
2026-04-07 19:41:56.169644-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:entry] CopyData('ApplePerContextInputPasteboard' (<CFUUID 0x915da56e0> C608958B-D22B-48F1-AF07-A3310AF16256) gen: -1 item: 1264739405 flavor: 'ApplePerContextInputFlavor')
2026-04-07 19:41:56.169676-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:cache] Rebuilding cache for 'ApplePerContextInputPasteboard' (<CFUUID 0x915da56e0> C608958B-D22B-48F1-AF07-A3310AF16256)
2026-04-07 19:41:56.169733-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:general] Will request data from daemon
2026-04-07 19:41:56.169821-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:exit] (not-in-cache) - result: 0 generation: 1 data (182 bytes) flags: 0
2026-04-07 19:41:56.169889-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:entry] CopyData('DefaultAsciiKeyboardLayoutPasteboard' (<CFUUID 0x91562bf20> DBF02E9E-E0EA-40CD-B544-552877BE95E3) gen: -1 item: 1264739405 flavor: 'DefaultAsciiKeyboardLayoutFlavor')
2026-04-07 19:41:56.169895-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:exit] (not-in-cache) - result: -8 generation: 0 null data flags: 0
2026-04-07 19:41:56.175086-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (HIToolbox) [com.apple.inputmethodkitClient:Client] +[IMKInputSession subclass]: chose IMKInputSession_Modern
2026-04-07 19:41:56.179192-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc8c0] activating connection: mach=true listener=false peer=false name=com.apple.inputmethodkit.getxpcendpoint
2026-04-07 19:41:56.180046-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151ccb40] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:56.308371-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:WindowTab] Indexing 4 items
2026-04-07 19:41:56.308443-0400 0x3377e0   Activity    0xd04675             34254  0    Maccy: (CoreSpotlight) end-index-batch
2026-04-07 19:41:56.308823-0400 0x3377e0   Activity    0xd04676             34254  0    Maccy: (CoreSpotlight) index-items
2026-04-07 19:41:56.309027-0400 0x3377b9   Default     0xd04676             34254  0    Maccy: (CoreSpotlight) [com.apple.corespotlight:index] CSInlineDonation:<private>: Skipping donation (feature flag disabled)
2026-04-07 19:41:56.309723-0400 0x3377e0   Default     0xd04675             34254  0    Maccy: (CoreSpotlight) [com.apple.corespotlight:index] CSInlineDonation:<private>: Skipping donation (feature flag disabled)
2026-04-07 19:41:56.895529-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) Could not get size of EAN data (IOConnectCallScalarMethod kAppleNVMeEANGetSize returned 0xE00002E2)
2026-04-07 19:41:56.895590-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) Failed to copy 'aptk' from EAN
2026-04-07 19:41:56.895604-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) Failed to copy APTicket properties. Falling back to default policy.
2026-04-07 19:41:56.895615-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) Creating default MGSysConfigPolicy
2026-04-07 19:41:56.895850-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) syscfg is not initialized!
2026-04-07 19:41:56.895912-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) CFDictionaryRef copySyscfgDictionary(void) enumeration of <private> failed.
2026-04-07 19:41:56.895944-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libMobileGestalt.dylib) Failed to find key <private>
2026-04-07 19:41:56.900824-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] window <_TtGC5Maccy13FloatingPanelVS_11ContentView_: 0x91490de00> windowNumber=19c5 finishing close
2026-04-07 19:41:56.900940-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:entry] CopyData('DefaultAsciiKeyboardLayoutPasteboard' (<CFUUID 0x91562bf20> DBF02E9E-E0EA-40CD-B544-552877BE95E3) gen: -1 item: 1264739405 flavor: 'DefaultAsciiKeyboardLayoutFlavor')
2026-04-07 19:41:56.900956-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:exit] (not-in-cache) - result: -8 generation: 0 null data flags: 0
2026-04-07 19:41:56.905032-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] Updating completion list window visibility to false after parent window 'visible' changed; parent window is visible: false; has positioning view: false; completion list has content to show: false
2026-04-07 19:41:56.905183-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19d0 op: 0 relative: 0 related: 0
2026-04-07 19:41:56.907998-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] Cleaning up AutoFill session in response to NSWindowDidResignKeyNotification
2026-04-07 19:41:56.908038-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] -[SFSafariPlatformSupport credentialSelected:] with nil credential
2026-04-07 19:41:56.908093-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19d0 op: 0 relative: 0 related: 0
2026-04-07 19:41:56.908260-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] -[SFSafariPlatformSupport oneTimeCodeSelected:] with nil code
2026-04-07 19:41:56.913624-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IATextInputActions] flushAndSetLastAction calling sendSignal:toChannel:withNullableSessionID:withPayload:
2026-04-07 19:41:56.913896-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IASignalAnalytics] channel:<private> signal:<private> sessionID:<private> timestamp:<private> payload:<private>
2026-04-07 19:41:56.913954-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: fetching xpcClient...
2026-04-07 19:41:56.913974-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: ...returning xpcClient 0x9154a7360
2026-04-07 19:41:56.913988-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] server: returning server 0x9149a8af0
2026-04-07 19:41:56.914116-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IATextInputActions] flushAndSetLastAction calling sendSignal:toChannel:withNullableSessionID:withPayload:
2026-04-07 19:41:56.914203-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IASignalAnalytics] channel:<private> signal:<private> sessionID:<private> timestamp:<private> payload:<private>
2026-04-07 19:41:56.914220-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: fetching xpcClient...
2026-04-07 19:41:56.914231-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: ...returning xpcClient 0x9154a7360
2026-04-07 19:41:56.914242-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] server: returning server 0x9149a8af0
2026-04-07 19:41:56.914307-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IATextInputActions] mergeOrConsumeAction calling sendSignal:toChannel:withNullableSessionID:withPayload:
2026-04-07 19:41:56.914551-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IASignalAnalytics] channel:<private> signal:<private> sessionID:<private> timestamp:<private> payload:<private>
2026-04-07 19:41:56.914602-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: fetching xpcClient...
2026-04-07 19:41:56.914707-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: ...returning xpcClient 0x9154a7360
2026-04-07 19:41:56.914750-0400 0x3377e0   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] server: returning server 0x9149a8af0
2026-04-07 19:41:56.926772-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19c5 op: 0 relative: 0 related: 0
2026-04-07 19:41:56.926975-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Intelligence] stopping collection observation
2026-04-07 19:41:56.927022-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087840] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2026-04-07 19:41:56.927036-0400 0x3377e0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:session] [0x9149a8e60] Session canceled.
2026-04-07 19:41:56.927093-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] agent connection cancelled (details: Session manually canceled)
2026-04-07 19:41:56.927119-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:session] [0x9149a8e60] Disposing of session
2026-04-07 19:41:56.928479-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] context (50e07881 -> 0) for window 19d0
2026-04-07 19:41:56.951757-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (FrontBoardServices) [com.apple.FrontBoard:SceneClient] [com.apple.controlcenter:B52240D3-DCA5-4A79-8A17-D2AEC7BAD5C5] Sending action(s) in update: NSSceneFenceAction
2026-04-07 19:41:57.061994-0400 0x3377b9   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:WindowTab] Indexing 3 items
2026-04-07 19:41:57.062080-0400 0x3377b9   Activity    0xd04678             34254  0    Maccy: (CoreSpotlight) end-index-batch
2026-04-07 19:41:57.062246-0400 0x3377b9   Activity    0xd04679             34254  0    Maccy: (CoreSpotlight) index-items
2026-04-07 19:41:57.062412-0400 0x3377b9   Default     0xd04679             34254  0    Maccy: (CoreSpotlight) [com.apple.corespotlight:index] CSInlineDonation:<private>: Skipping donation (feature flag disabled)
2026-04-07 19:41:57.063116-0400 0x3377df   Default     0xd04678             34254  0    Maccy: (CoreSpotlight) [com.apple.corespotlight:index] CSInlineDonation:<private>: Skipping donation (feature flag disabled)
2026-04-07 19:41:57.071746-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (LaunchServices) [com.apple.launchservices:datasep] application record search init. Node: <FSNode 0x915d7f9a0> { isDir = y, path = <private> } bundleID: (null) itemID: 0
2026-04-07 19:41:57.072109-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (LaunchServices) [com.apple.launchservices:datasep] application record search init. Node: <FSNode 0x915d7f9a0> { isDir = y, path = <private> } bundleID: (null) itemID: 0
2026-04-07 19:41:57.072370-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] -[SFSafariPlatformSupport credentialSelected:] with nil credential
2026-04-07 19:41:57.072426-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (SafariPlatformSupport) [com.apple.SafariPlatformSupport:SafariPlatformSupport] -[SFSafariPlatformSupport oneTimeCodeSelected:] with nil code
2026-04-07 19:41:57.083873-0400 0x3377b9   Activity    0xd0467a             34254  0    Maccy: (RunningBoardServices) didChangeInheritances
2026-04-07 19:42:01.023470-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:AutomaticTermination] void _updateToReflectAutomaticTerminationState(void) Setting _kLSApplicationWouldBeTerminatedByTALKey=1
2026-04-07 19:42:03.856980-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:entry] GetItemCount('Apple CFPasteboard general' (<CFUUID 0x915074da0> 0126EC80-D987-4864-89B6-A99284D950F1) gen: -1)
